epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,501.087,1.41256,0.8513,0.98221,0.78426,0.73883,0.71315,0.45325,1.55519,1.00043,1.00764,0.00030808,0.00030808,0.00030808
75,545.713,1.40313,0.84544,0.98005,0.74849,0.76333,0.72667,0.46128,1.54641,0.98774,1.00669,0.000297081,0.000297081,0.000297081
76,590.412,1.41068,0.84223,0.97665,0.77135,0.74826,0.71885,0.4593,1.55659,0.99542,1.00963,0.000286083,0.000286083,0.000286083
77,635.986,1.40889,0.84423,0.98224,0.77634,0.73758,0.71454,0.45816,1.5555,1.00005,1.00519,0.000275084,0.000275084,0.000275084
78,680.721,1.39391,0.84088,0.98146,0.77215,0.75309,0.71703,0.45598,1.57422,0.98697,1.00481,0.000264085,0.000264085,0.000264085
79,723.555,1.39776,0.83427,0.9786,0.77733,0.73616,0.71636,0.4551,1.57004,1.01654,1.00726,0.000253086,0.000253086,0.000253086
80,768.541,1.39966,0.83618,0.97628,0.75205,0.75493,0.71941,0.45606,1.57732,1.02146,1.01106,0.000242087,0.000242087,0.000242087
81,813.493,1.39118,0.81889,0.97223,0.77437,0.75723,0.7201,0.45951,1.57173,0.99767,1.00726,0.000231088,0.000231088,0.000231088
82,859.582,1.38881,0.82252,0.97327,0.78151,0.75546,0.72875,0.46283,1.59272,0.99572,1.015,0.000220089,0.000220089,0.000220089
83,906.318,1.37998,0.82095,0.9738,0.7836,0.75478,0.72432,0.46105,1.55636,0.99188,1.0078,0.00020909,0.00020909,0.00020909
84,955.731,1.38501,0.82174,0.97393,0.78585,0.74967,0.72954,0.45948,1.57252,0.97651,1.01015,0.000198091,0.000198091,0.000198091
85,1004.96,1.36152,0.79433,0.96648,0.77754,0.74608,0.72053,0.45766,1.59387,0.98764,1.01348,0.000187092,0.000187092,0.000187092
86,1054.47,1.36687,0.81282,0.96977,0.77598,0.75761,0.72527,0.46065,1.60173,0.99631,1.01611,0.000176094,0.000176094,0.000176094
87,1103.89,1.35528,0.78949,0.96387,0.77525,0.74798,0.71698,0.45059,1.62242,1.01787,1.0236,0.000165095,0.000165095,0.000165095
88,1153.04,1.36538,0.79085,0.96211,0.78451,0.75477,0.71672,0.45185,1.60416,1.01223,1.02155,0.000154096,0.000154096,0.000154096
89,1202.41,1.33159,0.77624,0.96003,0.78543,0.76145,0.72788,0.45763,1.59831,0.98749,1.01642,0.000143097,0.000143097,0.000143097
90,1251.68,1.34749,0.77157,0.95463,0.79224,0.76107,0.72709,0.457,1.61368,0.99302,1.02076,0.000132098,0.000132098,0.000132098
91,1338.81,1.25397,0.68978,0.927,0.78552,0.75787,0.72304,0.45586,1.59663,0.99205,1.01813,0.000121099,0.000121099,0.000121099
92,1386.15,1.24881,0.68146,0.92535,0.78078,0.75258,0.72359,0.45215,1.62556,0.99003,1.02685,0.0001101,0.0001101,0.0001101
93,1433.74,1.23882,0.67641,0.92171,0.80029,0.74882,0.72586,0.4584,1.59126,0.97911,1.01934,9.91012e-05,9.91012e-05,9.91012e-05
